tours,reviews,company,describtion,price
Blue Lagoon Segway Safari Tour With Lunch,252 , Dolphin Encounters,"Explore the Bahamas’ Blue Lagoon Island without getting lost on this Segway tour, a great choice for first-time visitors and nature lovers. After a scenic boat ride from Nassau, hop on your Segway and follow your... read more ",SAR 483.03 
Nassau Historical Guided Bike Tour,66 , Coconutwater Cruisers,"Pedal through the streets of Nassau, Bahamas, during this small-group bike tour: perfect for first-time visitors. See the best that Nassau has to offer during this small-group cycling tour. Visit top locations such... read more ",SAR 225.01 
CocoNutz Cruisers Electric Bicycle Tour,167 , CocoNutz Cruisers,"Stretch your legs and experience Grand Bahama island by bike on this fun-filled tour. With a local guide, cruise to popular sites and landmarks on an electric bike. Visit two beaches and enjoy lunch at a local... read more ",SAR 449.99 
4X4 6-Seater Buggy Rental in Nassau,71 , Bowcar Jeep/Buggy & Scooters Rentals & Guided Tours,Forget the rush and restrictions of a planned itinerary and enjoy the freedom of off-road driving with buggy rental on the island of Nassau. Rumble along scenic trails with ease and take time to explore landmarks... read more ,SAR 487.53 
Roundtrip Airport Shuttle from Sir Lynden Pindling Airport,7 , Moss Private Transportation,MPT takes the worry out of travel with our Airport Shuttle! We will pick you up from the airport and transport you to your hotel! You can either book us privately or utilize our shared shuttle service for round trip... read more ,SAR 119.97 
Nassau Sail and Snorkel Tour,49 , Seahorse Sailing,"Cruise along the coast of Nassau and explore an underwater reef in just a few hours on this stress-free tour of the Bahamas, a great choice for first-time visitors and nature lovers. Board a custom catamaran and... read more ",SAR 281.27 
Nassau Native Quest and Beach,12 , Nassau Native Quest and Beach,"This tour provides round-trip transportation from downtown Nassau and combines a sightseeing tour. Play games based on island culture and taste conch fritters, local treats, and rum cocktails. Plus, choose from two... read more ",SAR 243.76 
Scurry E-Sharing,No , Scurry E-Sharing,We are down-to-earth and truly fun! This tour is operated on E-scooters similar to bird and lime in the U.S. We provide helmets to keep you safe.,SAR 56.25 
Sunset Dinner Cruise in Nassau,51 , Seahorse Sailing,"Watch the sunset and enjoy a buffet dinner aboard a catamaran on this evening cruise from Nassau. Take in the views of Paradise Island Harbor, the Atlantis, and the Bahamian sunset.",SAR 296.27 
Atv tour of Nassau,60 , Bowcar Jeep/Buggy & Scooters Rentals & Guided Tours,Jump on an ATV and explore Nassau on this guided tour. Pass by the city's top sights as you drive on your own or choose to ride on the back. Travel around historical and cultural attractions such as the Queen's... read more ,SAR 630.04 
Parasail Over Cabbage Beach,18 , My Own Water Sports,Soar over the turquoise waters and white sand of Cabbage Beach on Paradise Island on this parasailing excursion. No experience is necessary and outings are available every half hour to suit your schedule. Hotel and... read more ,SAR 300.02 
Rum Reggae and Rhythms Private Tour (minimum of 6 people),10 , Bahtours,"Rum Reggae and Rhythms Tour is basically touring Nassau but with a twist. Staying true to its name, all throughout the tour...• You will enjoy drinking our company’s famous rum punch that we affectionately call as... read more ",SAR 224.98 
Sunset Cocktail Cruise,No , Blackbeard's Revenge,"Blackbeard's Revenge is the ONE & ONLY Pirate TOUR Ship in The Bahamas! There is no other that compares between beauty and experience! We offer snacks (gourmet cheese and crackers, and peanuts while you cruise.",SAR 165.01 
"Buggy Rentals with (Free: Snacks, beverages &Tropical Mixed Drinks)",1 , C&C Scooter Rentals (BAH),"Rent a beautifully maintained Brand New 2018 Can-Am Buggy/ UTV  (3,4 or 6 passenger model) and explore our beautiful Island at your own leisure. Comfortably cruise along our beautiful coast line taking in the... read more ",SAR 675.04 
Dilly Dally Walking Tour,2 , Dilly Dally Bike Tours,"Take a guided tour of historic Bahamian architecture in Downtown Nassau. Points of interest include the Water Tower, Fort Fincastle, The Queen's Staircase, The Nassau Public Library/ Former Prison, Rawson's Square,... read more ",SAR 131.26 
Savor Old Nassau Dining Stroll,15 , Tru Bahamian Food Tours,"Eat your way through charming Old Nassau with this two-hour culinary tour. You'll get to try a traditional Sunday lunch, sample rum cocktails (and learn about the beverage’s history in the island), and stroll... read more ",SAR 331.82 
Bike Tour of Historic Downtown Nassau,9 , Dilly Dally Bike Tours,"Take a guided tour of historic Bahamian architecture in Downtown Nassau. Points of interest include the Water Tower, Fort Fincastle, The Queen's Staircase, The Nassau Public Library/ Former Prison, Rawson's Square,... read more ",SAR 243.76 
Relaxing Airport Shuttle,1 , K.V. Bus & Charter Services,"On this airport shuttle, we will have our comfortable and spacious vehicles come to collect you at the airport on the day of your arrival in the beautiful Nassau, Bahamas. We will then take you to your destination... read more ",SAR 148.13 
Nassau Shore Excursion: Half-Day Historical Sightseeing Tour,36 , Tyrone Wilson's V.I.P Taxi & Tour Services,"When your cruise ship docks, tour Nassau's landmarks and highlights aboard a comfortable, full-sized van. During this 3.5-hour sightseeing tour, huff up the Queen Victoria staircase for spectacular photo ops and... read more ",SAR 406.90 
Mamma Gal East End Native Experience,6 , C Bevans Taxi and Tours,The Lucayan National ParkGold Rock BeachFree Town – The sight where Pirates Of The Caribbean 2 and 3 were filmed.,SAR 206.26 
Two Island Tour,2 , Bahamazing Tours,"Take a tour with Bahamazing Tours and discover a unique experience with our fun-filled, adventure throughout the island of New Providence and Paradise Island. Our guest will have a Bahamazing experience which... read more ",SAR 131.26 
Nassau City Scavenger-Hunt Adventure,27 , Islandz Tours - Cultural Walking Tours of Downtown Nassau,"Be immersed in Nassau’s buzzing streets on this scavenger hunt through the Bahamian capital, ideal for fun-loving families and large parties looking for a new city perspective. Compete against another team as you... read more ",SAR 104.74 
Wine Maker Class at Bahama Barrels,1 , Graycliff Chocolatier,Learn how to blend your own wine in the most unusual of locales: inside the oldest church in The Bahamas! An experienced California winemaker will teach you all about wine and how to blend it properly. At the end of... read more ,SAR 209.86 
Athol Island Snorkel Adventure,1 , Sunshine Cruises,"This exciting snorkel experience starts off with a scenic 45 minute historical cruise through Nassau Harbor pointing out homes of the rich and famous, historical forts and highlights in Nassau. Up next will be your... read more ",SAR 150.01 
Nassau SUB Bahamas Adventure,66 ,No company,"Explore Nassau's underwater world in a SUB, or Scenic Underwater Bubble during this 5-hour activity. Allowing you to cruise among the coral gardens and schools of tropical fish without even getting your hair wet,... read more ",SAR 621.64 
Nassau Shore Excursion: Sightseeing and Snorkeling Tour,31 , Tyrone Wilson's V.I.P Taxi & Tour Services,"When your cruise ship docks in port, embark on a 5.5-hour shore excursion that combines sightseeing, beach time, and a chocolate tasting. Lunch, a take-home souvenir, and round-trip transportation from the cruise... read more ",SAR 406.90 
Flavors of Nassau Food Tour,6 , Island Food Tours,"Taste your way around Nassau and explore Bahamian cuisine from the comfort of a specially designed, air-conditioned Flavors Van on this food tour—a perfect introduction for first-time visitors. Let your expert guide... read more ",SAR 431.28 
Glass Bottom Boat & Snorkelling Tour Bundle,2 , Bahama Joy Ride & Snorkeling Adventures,"We are a new company, please don't be afraid to try us out! Bahama Joy Ride & Snorkelling Adventures is a family friendly and fun tour company . Our only goal is to put your entertainment and safety first. Join... read more ",SAR 262.52 
City Tour,6 , Luxton Ace,"This sightseeing tour with a local guide packs an impressive amount of history and cultural insight into one tour. Visit landmarks such as the Queen's Staircase, Rawson Square, Parliament Square, Forts Fincastle and... read more ",SAR 367.52 
Make Your Own Tour,4 , Richie's Transportation Services,"This gives travelers the opportunity to handpick up to 5 destinations to experience within four (4) hours. Destinations include Historical Villages of Nassau, The Art Museum, The Chocolate Factory, Graycliff, and... read more ",SAR 187.51 
Baha Mar Private Airport Transfers,2 , Courtesy Private Charters,"More than just a ride personalize your Arrival and Departure time no more waiting in line!!Your driver would await your arrival at Sir Lyden Pindling Airport, Jet Aviation, Odyssey,or any other private FBO. Enjoy... read more ",SAR 281.27 
Half-Day Luxury Sailing Cruise in Freeport,21 , Bahamas Adventures,"Explore the Bahamian coast on an all-inclusive half-day cruise from Freeport. Ride in comfort aboard a deluxe 50-foot (15-meter) sailboat, then anchor at a reef where you can snorkel in shallow or deep water, and... read more ",SAR 356.23 
Blackbeard's Escape Room - Excursion,14 , Blackbeard's Escape - pirate themed escape room,"The year is 1718. You receive a mysterious message to meet Blackbeard at his hideout in Nassau.  Captain Woodes Rogers of the British Army has been rounding up pirates, and the notorious Blackbeard needs your... read more ",SAR 120.01 
Paradise Cove Day Pass Or Snorkel Only with Transport from Freeport,92 ,No company,"Have some fun in the sun at Paradise Cove with this day pass. Choose to relax on the beach or try one of the many activities available including kayaking, stand-up paddle boarding, and beach volleyball. You can also... read more ",SAR 168.72 
Freeport Shore Excursion: Round-Trip Beach Transfer to Taino Beach,8 , Fran's Travel Tour & Limo Service,Arrange your round-trip port transfer from Freeport in advance and skip the hassle of booking a service when you dock. This convenient form of transport takes you from Freeport cruise terminal to Taino Beach on... read more ,SAR 61.88 
Rose Island Break,131 , Harbour Safaris,"Experience multiple Bahamas highlights in one half-day tour from Nassau that includes a catamaran cruise, snorkeling, and visit to a private beach. Cruise with a small group aboard a catamaran, with stops at scenic... read more ",SAR 356.27 
"Fishing charters, and wildlife tours and merchandise",No , Gideon Amos Pinder,"With us you will experience the best wildlife the Bahamas has to offer. Wether it’s fishing or touring, I can show you around,born and raised in the Bahamas. And I would love to show you the paradise I call home!","SAR 3,375.20 "
Half-Day 27ft Private Charter in Nassau,34 , Reel Dreams Sport Fishing Charters,"Set sail from Nassau on your own terms on this half-day charter trip on a 27-foot-long boat, complete with the support a full crew and a captain. You and your party get to choose from all sorts of activities, from... read more ","SAR 2,343.89 "
Spanish Wells Pigs Excursion,38 , Harbour Safaris,"See a side of the Bahamas that many visitors miss on this full-day tour from Nassau. In the morning, hop aboard your vessel and set sail. Venture first to Meeks Patch Island, famously home to a group of wild,... read more ","SAR 1,080.06 "
Nassau Segway Beach and Waterfront Tour,527 , CST Bahamas Tours,"Make the most of your stay in Nassau, and see more of the city in less time, when you explore on a Segway tour. Pick between several daily departure times, and, following pickup at your hotel or port, head to the... read more ",SAR 300.02 
Bahamian Beach Club Day Pass with Transport,10 , Bahamas Adventures,"Enjoy a relaxing beach day in Freeport with a day pass to Bahamas Adventures Beach Club. Your day pass includes lounge chairs, beach and water activities, and access to the club’s amenities including restrooms and... read more ",SAR 146.26 
Swimming Pigs,60 , H. Forbes Charter Services,"Among the many fun activities you can enjoy in the Bahamas, swimming with pigs must be one of the most unusual options. This half-day tour on Grand Bahama Island includes the opportunity to splash in the Caribbean... read more ",SAR 277.52 
ATV Rental,1 , Virgo Car & Scooter Rental,Virgo brings forth a unique experience for the everyday customer. Top notch ATV products along with the ability to explore the beautiful island of Nassau. We have consistent availibity in terms of both renting and... read more ,SAR 375.02 
Bahamas East End and Lucayan National Park Tour,56 , H. Forbes Charter Services,Explore Lucayan National Park on this half-day adventure on Grand Bahama. Discover one of the largest underwater cave systems in the world and trek along a boardwalk to Gold Rock Beach's miles of white sands. View... read more ,SAR 187.47 
Luxury Sedan Airport Transfer,3 , Prestigious Transport,"Reserve your luxury sedan airport transfer in advance and have us transport you, prestigiously, to your destination. Whether arriving for business or pleasure, start your journey off right by riding in luxury,... read more ",SAR 330.02 
City tour sight seeing wine tasting queens staircase,1 , Rsr tours and taxi,Our tour provides you with first class customer service and truly a blow away experience. Cold water included and tropical drinks provided as an extra fee. A real one of a kind Bahamian experience.,SAR 149.97 
Island City Tour,1 , Island Girls Taxi and Tours,"For the Bahamas, tourism is big business. The facts are simple: tourists visit the island and they spend. They get off the coach or the plane, go to their hotel and then emerge and boost the economy of the place... read more ",SAR 168.76 
Bimini Day Cruise with pick-up & Hilton beach day pass,2 , US2U Inc. Sightseeing & Beach Weddings,"Even if you don't have the time to explore the Bahamas, you can still soak up the sun on the island of Bimini on this day tour from Miami. You'll get picked up from your hotel, board the ferry, and be transported to... read more ",SAR 746.29 
Bahamas Historical and Cultural Tour,No , Rickyluv Bahamas Taxi and Tour,Our tours are a mixure of Bahamian History and Bahamian Culture. Tours can be customized to suite our guests needs and experiences.At present we also offer tours for the hearing impaired. We have a certified tour... read more ,SAR 534.41 
Discover Nassau Sightseeing Tour plus Atlantis Resort Visit,25 , Discover Nassau Tour,"Enjoy a comfortable and relaxing way to explore Nassau’s highlights when you book this speedy shore excursion. Meet your guide at the cruise port upon disembarking your vessel, and hop aboard an air-conditioned... read more ",SAR 206.22 
Nassau Self-Guided Audio Tour,2 ,No company,"With these audio files and nap, you enjoy this Nassau walking tour at your leisure. It is recommend you start your self-guided tour at Woodes Rogers Walk near the cruise-ship terminal, and then spend as long as you... read more ",SAR 56.22 
ATV Rentals,19 , Bowcar Jeep/Buggy & Scooters Rentals & Guided Tours,Enjoy the beauty of the Bahamas at your own pace while pumping up the adrenaline with this unguided Nassau ATV experience. Book this thrilling ride and your 4WD ATV will be ready and waiting for you. Then decide... read more ,SAR 450.03 
2.5 Hour Off Road Tour with a yummy Bahamian Snack Pack,1 , J & S Scooter ATV's Chasing Charters,"This tour of the key sights within in Nassau Bahamas allows our guests to wild out on a full off road experience aboard our automatic buggies, to visit the beaches The Bahamas is so well known for and to ride within... read more ",SAR 656.29 
Kayak and Paddleboard Rentals,No , Eleuthera Outdoor Center,"Come see our quality selection of BIC Paddle Boards, Ocean Kayaks and Cressi Masks,Snorkel,and Fins",SAR 112.51 
Land & Sea Adventure on ATV & Tiki Bar Boat (Beach Break...,5 , C&C Scooter Rentals (BAH),See the best of Nassau and Paradise Island during a morning or afternoon ATV tour with an expert guide. Drive your own 3-passenger Can-Am Outlander 450 Max ATV or ride as a passenger and cruise along the scenic... read more ,"SAR 1,121.32 "
Nassau Shore Excursion: Bahamas Snorkel Adventure,56 ,No company,"While your cruise ship is docked in Nassau's port, go snorkeling in the Bahamas' aquamarine waters. During this 5-hour shore excursion, explore the island's waters by swimming among schools of tropical fish and... read more ",SAR 373.82 
"Round trip Airport (LPIA) to Baha Mar, Melia, Cable Beach, Breezes",No , Rickyluv Bahamas Taxi and Tour,Transportation can be customized for our clients. We will provide every level of comfort to ensure a comfortable trip.Professional..Safe..Reliable,SAR 117.19 
Freeport Snorkeling and Catamaran Cruise to Peterson Cay National Park,12 , Reef Oasis Dive Club,"Snorkel through turquoise waters off Grand Bahama's coast during this 3-hour snorkeling tour from Freeport. Board a comfortable catamaran for trip to Peterson Cay National Park, then jump into the calm, shallow... read more ",SAR 247.81 
Rose Island Day Trip per person,No , Blue Wave Charters,"This tour is unique because it offers more activities, such as paddle boards & beach games. We spend more time at each destination than other tours & focus on a more intimate experience for our guests. We... read more ",SAR 468.78 
Airport Transfer,4 , Luxton Ace,"Arrive Nassau and be welcomed by Luxton Ace staff. Your driver would await your arrival at Sir Lynden Pindling Airport, Jet Aviation, Odyssey, Cruise ship arrival or any other private FBO. At the arrival the Lead... read more ",SAR 581.28 
Freeport Shore Excursion: Bahamian Brewery Tour and Beer Tasting,13 , Fran's Travel Tour & Limo Service,"Step on shore at Freeport for a beer lover’s shore excursion to Bahamian Brewery, and sample the island’s lagers, stouts and ales at an onsite bar. Go behind the scenes with your guide, and see how the beers are... read more ",SAR 112.47 
Beautiful Island Tour,1 , K.V. Bus & Charter Services,"We offer a variety of tours that are perfect for those of you who want to see and do as much as possible, even if time is short. This tour rides a long a scenic route of the beautiful Nassau, Bahamas. Enjoy the... read more ",SAR 180.01 
Land and Sea Sightseeing Tour from Nassau,14 , Marvelous Tours,"Combine a comprehensive sightseeing tour of Nassau with a snorkeling adventure off Nirvana Beach on this half-day tour in the Bahamas. Ride in a comfortable, air-conditioned coach to see highlights such as Bahamar,... read more ",SAR 397.52 
Bahamas Bond Adventure - Poker Run (no running) and Beach Day,2 , Nassau Native Quest and Beach,"This 4 hour city and beach adventure will have you exploring old James Bond film locations through downtown Nassau, while either playing the part of a 007 AGENT working for MI6 or a ROGUE AGENT that’s been turned by... read more ",SAR 299.98 
Nassau Shore Excursion: Exuma Powerboat Adventure,28 , Powerboat Adventures,"Escape the city to find idyllic beaches, colorful corals, and less-visited islands in the Bahamas on a full-day tour by motorboat to the Exumas from Nassau. Have time for snorkeling at a sheltered coral reef, taking... read more ",SAR 919.85 
Bonefish Pond National Park Kayaking,12 , Ultimate Tours Bahamas,"The Bahamas’ Bonefish Pond National Park sits on the southern coast of New Providence Island, just south of Nassau. With this kayaking tour, you’ll spend about an hour exploring the scenic waterways of Bonefish Pond... read more ",SAR 281.27 
Freeport Half-Day Tour,24 , H. Forbes Charter Services,"Visit all of Freeport's highlights and landmarks during this 3-hour sightseeing tour. Explore 'Millionaires Row,' go duty-free shopping at a local liquor shop and visit a bustling open air fruit market. Take a walk... read more ",SAR 168.72 
Freeport Shore Excursion: Round-Trip Beach Transfer to Pirates Cove,15 , Fran's Travel Tour & Limo Service,"Discover white sand and clear water at Pirates Cove with a round-trip transfer from your Freeport cruise ship, and turn your shore excursion into an island escape. Book your transportation in advance, so you can... read more ",SAR 56.63 
Primeval Forest Nature Tour,No , K.V. Bus & Charter Services,"Remarkably undisturbed, this old-growth woodland is representative of the early evergreen tropical hardwood forests of the Bahamas. Located in southwestern New Providence, the area is easily accessible by car. It... read more ",SAR 141.98 
Island jeep tour of Nassau,30 , Bowcar Jeep/Buggy & Scooters Rentals & Guided Tours,Explore Nassau by Jeep on this 2-hour tour that introduces you to the city's top cultural and historical sights. Enjoy traveling by open-air vehicle for better views as you go along. Select a morning or afternoon... read more ,SAR 483.03 
Mamma Gal Native Experience,7 , C Bevans Taxi and Tours,"Guest will visit The Perfume Factory, Fruit and Vendor’s Market,Native Beach Break,Port Lucaya, Market Place",SAR 168.76 
Best of the Grand Bahamas Tour,3 , Bahamas Adventures,"Hit all the highlights of Freeport in a single day with this tour that includes stops at the Rand Nature Center, the Port Lucaya Marketplace, and St. John's Jubilee Cathedral, among others. Get access to the... read more ",SAR 187.47 
Pirate Mutiny Adventure Boat Cruise Tour/Trip,4 , Blackbeard's Revenge,"Black Beard's Revenge is the only Pirate Adventure Trip in the Bahamas. The Revenge is a 140 ft replica of the ""Revenge""",SAR 262.52 
Bootleggers DJ Party Cruise,No , Blackbeard's Revenge,"Black Beard's Revenge is the only Pirate Adventure Trip in the Bahamas. The Revenge is a 140 ft replica of Blackbeard's ""Revenge""",SAR 131.26 
Big Bus Private Tour (minimum of 15),1 , Bahtours,Choose from 30 different activities to do on the island. We will then help you• Create an itinerary that reflects the needs and desires of your group• Maximize the allotted four-hour time. Or if you can't decide... read more ,SAR 146.26 
Nassau Scooter Rental,12 , Bowcar Jeep/Buggy & Scooters Rentals & Guided Tours,"Explore Nassau on the back of a rental scooter, available for a 4, 8 or 24 hour rental. Get suggestions from the rental center for what to see and do while discovering the highlights of this beautiful Bahamian... read more ",SAR 357.02 
Banana Boat Adventure in Nassau,2 , My Own Water Sports,"Bounce and bump across the waters off Paradise Island's Cabbage Beach during this banana boat adventure. The banana boat can hold up to 10 passengers, so you can ride with your family and friends. Round-trip hotel... read more ",SAR 75.00 
Round trip Airport (LPIA) to Palm Cay Resorts,No , Rickyluv Bahamas Taxi and Tour,Rickyluv Bahamas Taxi and Tour offers customized services to satisfy all of our clients needs.Professional..Safe..Reliable,SAR 234.39 
Club Crawl Tour,No , Rockstar Tours Bahamas,Tour Description:The ultimate way to experience the legendary Nassau party sceneLooking to have an epic night out in Nassau? Join Rock star Tours club crawl and get treated to an unforgettable VIP-style nightlife... read more ,SAR 206.26 
Blast from the Past Nassau Tour,2 , Tours of A Lifetime,"Get a comprehensive tour of Nassau's most important historical landmarks during this excursion. Visit Pompey Square, the Government House, the British Colonial Hilton Fort Nassau, among other highlights. End up at... read more ",SAR 112.47 
Private Round-Trip Transfer: Freeport Airport to Hotel,19 , Fran's Travel Tour & Limo Service,"Book private round-trip luxury transportation to and from Grand Bahama International airport ahead of time. Start your vacation right away when your plane lands in Freeport, and travel to your accommodation via... read more ",SAR 168.76 
Freeport Roundtrip Airport Transfers,62 , H. Forbes Charter Services,Arrange your round-trip airport transfer in advance and skip the hassle of booking a service when you land in Freeport. This convenient form of transport takes you from Freeport Airport or Lucaya Harbor to your... read more ,SAR 56.22 
8 Hour Scooter Rental Nassau Bahamas,1 , J & S Scooter ATV's Chasing Charters,"Excited to see the city of Nassau but would like to do so solo, no problem. J&S gives you the freedom of riding the streets of New Providence as a lone soldier! Make the stops you find interesting. Stay as long... read more ",SAR 600.04 
Brunchin' Sundays Food Tour,4 , Island Food Tours,"Sunday mornings are for mimosas and brunch! Enjoy our signature brunch tour as we shuttle you to 3 of our favorite brunch spots, to enjoy tasty samples of your favorite brunch dishes. Finish this tour with a cooking... read more ",SAR 468.78 
Swim Snorkel Turtles Charter,2 , First Strike Charters,"Take in the paradisiacal Bahamian scenery when you book a private boat charter. Pick from morning or afternoon departure times, and meet your vessel at one of several convenient docks. Once aboard, you can plan your... read more ","SAR 4,781.53 "
My Bahamian House Tour,23 , Bahamas Adventures,"Ideal for adventurers or beach loungers, this tour allows you to spend half a day at a private Bahamian waterfront home just the way you’d like. Kayak, snorkel, or stand-up paddleboard right off the shore, or simply... read more ",SAR 356.23 
Sightseeing tours,1 , Supernova Bahamas Tours,"I provide a exciting memorable experience of sightseeing of the island of New providence going by sights such as queen staircase,rum cake Factory, John watlings distillery tasty t's etc making memories and marking... read more ",SAR 262.52 
Island City Tour,1 , Island Girls Taxi and Tours,"For the Bahamas, tourism is big business. The facts are simple: tourists visit the island and they spend. They get off the coach or the plane, go to their hotel and then emerge and boost the economy of the place... read more ",SAR 168.76 
Private Half Day Trip,5 , KeepItSalty Adventures,"This half-day private tour from Nassau can be customized to suit the interests of you and your group, whether you want to swim with sea turtles, find a secluded beach, try your luck at fishing, or simply cruise... read more ","SAR 6,187.86 "
Rums and Reggae Tour (Shore Excursion),2 , Bahtours,"Rum Reggae and Rhythms Tour is basically touring Nassau but with a twist. Staying true to its name, all throughout the tour...• You will enjoy drinking our company’s famous rum punch that we affectionately call as... read more ",SAR 187.47 
Rum Reggae and Rhythms Private Tour (minimum of 6 people) Shore...,2 , Bahtours,"Rum Reggae and Rhythms Tour is basically touring Nassau but with a twist. Staying true to its name, all throughout the tour...• You will enjoy drinking our company’s famous rum punch that we affectionately call as... read more ",SAR 224.98 
Catch A Lyft,No , Richie's Transportation Services,"This service ranges from business transport, airport pickups/drop-offs, special events,personal chauffeur.",SAR 112.51 
4-Hour Nassau Buggy Ride and Beach Tour,25 , Bowcar Jeep/Buggy & Scooters Rentals & Guided Tours,"Hop inside a buggy and explore Nassau on this guided half-day tour. Travel along a scenic road, passing by historical and cultural sites such as the Queen's Staircase and the Caves of New Providence, as you head to... read more ",SAR 630.04 
On Island Time Massage,No , The Sea View Spa,Come and enjoy an environment where every treatment room has a beautiful view of the sea. You can enjoy your massages in the air conditioned comfort of the spa or you can enjoy the gentle laps of the waves with a... read more ,SAR 375.21 
Freeport Reef Snorkeling Adventure with Beach Break and Shopping,3 , Bahamas Adventures,"Spend a day enjoying three popular Bahamian activities—reef snorkeling, relaxing on the beach, and shopping at the straw market—on a single tour. Hop a boat out to the reef and don provided snorkeling equipment for... read more ",SAR 262.48 
Private Half-Day Fishing Charter in Nassau,23 , Born Free Fishing Charters,"Experience world-class fishing off the coast of the Bahamas on this personalized fishing excursion from Nassau, and swim or snorkel in between catches. Opt to drop your line in the deep waters offshore or stay... read more ","SAR 2,437.64 "
"Half Day Swim,Snorkel,Sightseeing of Nassau Harbour end to end",No , Exuma Trips and Tours,"A halfday trip of fun visit powered by our swim and snorkel craft, activities enjoy a morning of sailing out to a beautiful secluded beach where we drop anchor and you can swim and snorkel at your pleasure. We... read more ",SAR 243.76 
2.5 Hour Off Road Tour with a yummy Bahamian Snack Pack,1 , J & S Scooter ATV's Chasing Charters,"This tour of the key sights within in Nassau Bahamas allows our guests to wild out on a full off road experience aboard our automatic buggies, to visit the beaches The Bahamas is so well known for and to ride within... read more ",SAR 656.29 
AN EXQUISITE EVENING COOKING GOURMET INTERNATIONAL DISHES WITH...,2 , Goombay House Cooking Class Studio,"Immerse yourself in the traditions of Bahamian cooking with this class in Nassau. You will be learning from a professional chef alongside a small group of just 12 people or fewer, which ensures an intimate... read more ",SAR 371.27 
Private AirPort Transfer,1 , Luxton Ace,"We were once visitors that decided to open a business in The Bahamas to assist travellers from all the hassles of having to queue/line up for taxis at arrivals, You just book your return Airport Transfers with... read more ",SAR 675.04 
Shore Excursion: Nassau Bahamas City Tour,2 , Baggy Rocks,"Ideal for first-time visitors to Nassau, this guided driving tour covers the key city sights. With your guide, visit Fort Charlotte, a rum cake factory, a rum distillery, and the Queen's Staircase. Take time to shop... read more ",SAR 225.01 
Food & Rum Cultural Walking Tour,2 , Ultimate Tours Bahamas,Enjoy a full rum and food tour enough food to fill your belly and enough rum for your liver to thank us. This is a 3 hour food and rum cultural walking tour of Nassau. On this tour you will taste your way through... read more ,SAR 273.77 
Catamaran Sailing & Snorkeling Tour,1 , Reef Tours Ltd.,"Sail along the shores of the Bahamas and take in coastal views on this tour aboard a catamaran. You’ll get to spend a few hours out on the waters with a guide, who will ensure you leave the tour relaxed and with new... read more ",SAR 210.01 
Transfer in Private Minivan from Nassau Airport to Nassau Island,1 , MY TRANSFER GROUP,"Book a private transfer from the Airport to your hotel or destination, service guaranteed once you make the booking. We will provide all information necessary to meet your driver at arrival. • Meet and greet •... read more ",SAR 330.92 
